51	29	50	18	84	17
99	96	33	96	67	26
**	17	88	99	28	96
86	16	63	94	53	**
32	66	70	46	68	45
19	23	35	31	09	83
79	22	79	39	53	77
67	99	35	14	03	52
53	20	41	58	50	11
38	22	68	26	22	23
36	51	92	48	54	82
16	41	41	45	10	70
03	15	**	79	63	43
90	40	77	52	22	26
96	22	49	24	21	50
21	81	87	50	63	56
9*	45	45	57	92	39
00	45	81	89	62	97
22	00	98	84	06	49
15	17	68	05	09	31
87	95	21	65	52	88
06	51	00	84	32	51
69	47	83	90	16	02
19	98	83	49	47	69
60	57	42	91	73	21
19	47	85	75	33	17
83	61	55	97	43	66
83	14	54	62	12	19
03	79	70	45	69	07
83	37	39	22	83	35
61	51	82	78	47	70
64	08	21	30	**	78
68	64	76	**	71	92
05	68	55	60	08	97
46	53	39	97	60	91
75	70	28	42	45	52
**	01	07	81	20	48
31	77	55	27	77	24
54	95	30	73	30	59
57	59	41	68	94	37
22	03	33	06	80	71
29	93	97	33	86	82
51	03	52	68	26	03
94	64	86	40	**	**
61	21	25	54	45	54
20	21	27	71	94	97
76	05	93	01	51	89
45	31	60	28	70	76
28	52	20	41	29	48
32	67	41	16	65	79
80	83	51	54	98	58
83	08	48	68	86	52
39	01	83	32	87	42
82	**	73	18	78	05
89	80	20	49	63	74
87	30	32	02	16	02
24	29	86	15	43	40
09	84	78	28	90	22
68	59	02	53	18	34
81	95	55	51	65	69
59	62	12	70	51	31
69	98	87	66	24	64
**	83	76	31	44	46
**	**	**	37	21	34
44	27	26	21	28	81
09	00	64	28	02	66
26	60	58	22	11	45
44	69	74	57	44	57
07	92	60	99	63	84
45	03	30	93	91	27
60	17	69	82	49	69
77	61	61	00	39	84
11	37	14	99	77	43
90	16	62	27	52	05
43	91	07	89	25	17
28	82	27	30	22	17
00	13	36	51	88	95
98	49	90	50	59	95
48	74	68	68	72	18
40	63	98	21	65	37
37	35	62	46	15	65
49	**	48	12	81	08
73	62	97	14	42	42
71	49	46	29	**	69
90	44	49	31	86	15
93	97	79	06	35	09
06	91	90	96	90	72
59	12	80	67	08	78
05	85	81	49	53	82
43	08	07	69	75	15
66	25	06	34	98	93
81	46	37	44	67	50
07	13	89	28	04	53
**	91	24	92	82	86
16	16	93	37	38	56
91	83	46	55	93	86
22	71	01	02	52	60
05	73	74	38	34	73
12	22	29	58	52	90
99	35	27	22	16	23
55	66	10	93	95	27
47	72	58	41	12	35
04	10	58	37	41	83
54	22	41	06	44	96
09	06	**	68	78	78
33	66	64	34	62	93
**	07	04	84	92	29
90	36	76	09	13	81
31	97	99	73	53	66
99	92	15	14	54	57
84	13	78	14	83	31
80	77	27	63	**	15
85	80	87	01	81	55
76	43	79	33	47	02
33	95	47	20	50	32
38	10	99	42	04	64
15	90	12	39	15	25
68	56	61	65	12	04
61	96	95	62	38	93
43	31	46	64	54	63
