69	71	84	57	12	**	74
23	10	25	97	51	08	59
80	35	52	17	95	11	33
14	49	22	54	65	24	10
05	92	49	08	66	24	59
69	68	00	52	03	71	74
55	27	63	72	07	38	35
50	09	82	16	51	46	89
**	**	**	**	**	**	**
**	**	76	74	88	29	04
12	78	79	90	02	96	27
21	89	38	48	13	49	69
43	36	40	28	76	15	80
19	02	42	40	41	53	84
64	78	13	15	89	37	28
79	14	41	13	51	20	56
44	91	37	18	00	68	06
70	35	19	84	70	67	07
09	43	76	15	18	36	23
07	79	70	83	27	32	81
64	76	49	20	82	21	**
27	38	31	59	05	37	42
12	04	49	28	**	41	80
15	18	92	34	47	70	72
04	43	43	63	37	02	30
59	64	88	76	19	26	41
79	37	80	47	72	00	43
57	65	94	41	**	55	78
94	76	07	79	31	85	01
82	56	71	55	11	06	88
88	63	65	96	06	39	21
06	03	57	44	75	52	70
11	68	05	69	54	36	38
23	75	27	80	86	55	38
42	17	15	66	41	65	78
73	59	97	84	33	16	11
18	45	38	79	73	79	90
89	92	68	42	47	53	47
35	86	91	51	55	18	15
64	49	73	61	64	93	59
49	90	39	58	66	17	01
21	62	77	23	24	20	13
18	07	45	20	76	**	**
90	63	21	16	55	48	48
52	67	16	59	81	93	41
98	10	99	55	01	01	13
55	26	89	52	65	20	38
13	36	13	51	29	19	57
76	54	14	57	07	65	97
68	15	06	69	28	03	47
27	78	21	78	85	57	53
84	30	**	21	21	46	40
78	96	33	15	11	63	**
91	82	23	77	01	48	86
83	77	72	75	83	49	28
38	31	15	**	61	81	82
64	57	43	64	25	31	**
17	89	14	43	53	25	73
42	13	08	08	07	41	97
15	78	09	40	66	83	32
84	32	76	08	41	93	61
06	75	94	19	92	83	21
67	60	28	22	00	01	**
**	**	**	**	**	**	**
17	61	09	61	70	04	98
88	89	43	34	72	37	10
02	04	06	27	14	60	51
68	63	37	35	95	65	88
57	69	55	11	93	20	34
11	99	01	58	45	74	94
80	69	17	10	35	74	21
40	56	43	20	42	98	98
74	67	99	28	39	92	66
**	94	16	57	28	63	56
15	98	15	13	81	**	**
46	43	51	40	22	04	03
35	73	62	16	22	86	55
91	16	56	62	97	55	64
29	97	68	01	19	60	93
41	51	42	84	34	58	67
40	23	58	12	12	85	13
30	02	27	26	83	16	45
61	12	56	**	44	96	97
66	44	50	21	91	83	92
08	05	85	17	59	12	04
74	87	85	93	15	53	23
08	06	60	99	52	60	88
28	69	12	42	23	06	61
50	20	44	49	91	79	82
72	93	09	24	75	77	51
55	68	20	17	45	19	98
51	15	46	28	88	94	68
09	17	50	85	10	34	56
88	41	95	10	38	27	94
60	49	70	24	10	23	26
88	05	21	30	53	54	08
16	25	64	76	16	96	79
42	37	79	66	74	73	31
44	26	17	82	72	75	78
40	33	19	65	25	58	71
07	**	38	32	19	50	04
62	38	60	06	83	88	91
39	75	04	71	08	37	89
20	39	58	**	35	32	09
63	11	32	40	29	27	96
61	16	85	01	23	80	50
32	**	03	50	18	93	61
22	19	86	23	34	06	46
73	36	12	12	67	99	87
77	66	68	94	30	44	66
14	43	38	07	45	99	93
77	97	29	97	62	10	06
37	95	73	36	74	68	97
46	45	45	81	**	**	**
**	**	**	**	**	**	**
21	99	77	04	07	27	82
17	62	48	10	15	30	24
08	66	13	34	07	68	58
04	33	01	07	80	18	78
27	24	16	33	69	09	76
97	44	40	83	42	31	32
15	69	01	44	95	16	27
61	15	76	44	39	53	89
19	27	56	60	32	23	85
21	93	86	57	70	41	59
95	90	39	15	05	36	67
47	08	73	67	91	63	**
94	88	31	77	68	62	19
83	22	03	97	49	35	03
09	47	54	25	25	21	05
87	16	91	93	44	18	99
12	82	44	70	48	25	78
76	98	19	59	09	45	80
11	**	19	78	75	43	91
21	66	81	18	82	57	**
**	**	**	**	**	**	**
**	20	36	47	50	90	**
73	99	86	11	13	05	48
94	08	57	54	56	32	92
40	06	25	69	72	88	38
44	90	67	03	79	93	70
86	83	84	04	08	76	28
77	39	83	08	25	05	96
40	37	59	72	46	89	68
56	32	60	56	51	05	24
20	43	73	87	83	56	61
68	09	71	28	28	51	96
29	29	97	79	32	30	26
80	54	53	61	31	**	**
56	89	77	70	61	48	**
06	86	92	00	35	78	52
25	64	97	00	17	48	49
01	44	26	82	91	86	93
70	02	10	69	81	96	56
02	33	49	07	94	07	40
08	86	41	39	14	06	33
26	20	88	16	36	20	27
81	66	35	09	84	77	36
88	71	15	16	40	32	95
41	51	73	89	96	28	17
73	40	19	74	22	01	91
**	**	**	**	**	**	**
**	**	**	27	45	05	30
74	45	32	36	27	37	78
72	57	19	85	52	04	60
04	33	14	71	15	28	24
01	77	59	43	34	30	34
84	24	51	47	09	53	09
19	83	86	86	41	14	05
86	60	17	31	51	57	48
23	85	85	22	67	78	41
58	04	18	29	05	85	55
76	**	34	65	32	37	21
55	95	47	66	62	40	79
97	21	66	54	52	77	75
65	25	70	84	37	60	60
28	86	02	88	59	21	38
89	08	44	94	40	48	33
95	13	56	48	61	34	17
44	13	61	78	60	42	01
78	53	54	77	09	36	**
**	21	92	55	49	95	97
19	82	74	51	07	27	27
95	77	13	42	26	60	36
46	49	38	12	20	37	92
65	40	05	53	81	02	75
47	34	67	60	26	22	83
14	82	30	78	25	89	21
79	14	38	67	21	65	41
43	14	46	41	80	94	79
19	51	45	25	22	76	45
99	86	13	99	47	40	81
11	81	22	84	48	94	55
06	23	10	61	09	64	61
55	99	72	39	36	25	25
07	56	76	01	39	32	90
16	92	89	44	71	71	57
37	05	18	81	97	36	54
75	52	33	70	64	00	18
20	14	82	62	82	68	80
07	18	78	86	92	24	**
81	56	89	94	48	10	**
17	55	62	17	29	23	80
99	66	82	27	12	47	31
32	21	74	78	53	**	**
51	04	72	89	96	40	**
94	43	00	61	55	75	01
48	86	40	34	58	39	23
60	63	96	35	26	00	92
63	29	95	38	68	12	94
77	23	71	99	57	98	70
62	60	59	41	65	83	**
**	**	**	**	**	**	**
**	43	07	09	62	91	62
12	61	33	00	98	57	93
35	62	03	31	03	41	54
98	19	01	16	26	49	41
42	88	06	48	73	66	64
89	65	00	04	75	67	61
38	83	41	87	96	27	25
61	26	30	23	16	72	44
60	65	97	00	59	87	82
08	19	70	34	11	19	40
85	31	18	**	60	44	89
42	79	**	36	45	01	93
30	78	84	87	76	**	**
65	48	91	40	17	92	**
73	28	54	31	38	39	**
70	72	80	56	05	50	**
47	94	86	30	19	31	**
49	67	17	91	13	64	**
41	41	15	08	**	45	**
91	54	79	98	62	59	**
88	72	17	31	36	46	**
65	30	44	45	08	04	**
57	09	74	70	65	16	**
65	97	05	82	11	43	**
55	81	29	16	87	41	**
08	09	77	60	21	19	**
11	45	**	50	98	95	**
55	74	08	64	79	07	**
81	16	60	46	72	57	**
05	46	91	66	68	21	**
28	00	94	88	42	64	**
57	85	80	08	19	47	**
72	72	63	98	15	84	**
86	88	60	09	25	70	**
